service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20781,0,0,0,0,0,1,1,20211118,20221101
20761,1,1,1,1,1,0,0,20211115,20221101
20755,1,1,1,1,1,0,0,20211115,20221101
20757,1,1,1,1,1,0,0,20211115,20221101
20141,0,0,0,0,0,1,1,20211118,20221101
20140,0,0,0,0,0,1,1,20211118,20221101
18826,0,0,0,0,0,1,1,20211118,20221101
20860,1,1,1,1,1,0,0,20211115,20221101
13549,0,0,0,0,0,1,1,20211118,20221101
17913,1,1,1,1,1,0,0,20211115,20221101
20783,0,0,0,0,0,1,1,20211118,20221101
20762,1,1,1,1,1,0,0,20211115,20221101
19883,0,0,0,0,0,1,1,20211118,20221101
20636,1,1,1,1,1,0,0,20211115,20221101
20784,0,0,0,0,0,1,1,20211118,20221101
20763,1,1,1,1,1,0,0,20211115,20221101
13551,0,0,0,0,0,1,1,20211118,20221101
18211,1,1,1,1,1,0,0,20211115,20221101
20785,0,0,0,0,0,1,1,20211118,20221101
20764,1,1,1,1,1,0,0,20211115,20221101
20786,0,0,0,0,0,1,1,20211118,20221101
20765,1,1,1,1,1,0,0,20211115,20221101
20787,0,0,0,0,0,1,1,20211118,20221101
20766,1,1,1,1,1,0,0,20211115,20221101
20134,0,0,0,0,0,1,1,20211118,20221101
17921,1,1,1,1,1,0,0,20211115,20221101
20859,1,1,1,1,1,0,0,20211129,20221101
20861,0,0,0,0,0,1,1,20211127,20221101
20788,0,0,0,0,0,1,1,20211118,20221101
20767,1,1,1,1,1,0,0,20211115,20221101
20789,0,0,0,0,0,1,1,20211118,20221101
20775,1,1,1,1,1,0,0,20211115,20221101
20137,0,0,0,0,0,1,1,20211118,20221101
20705,1,1,1,1,1,0,0,20211115,20221101
20790,0,0,0,0,0,1,1,20211118,20221101
20769,1,1,1,1,1,0,0,20211115,20221101
20864,1,1,1,1,1,0,0,20211129,20221101
20868,0,0,0,0,0,1,1,20211127,20221101
17962,0,0,0,0,0,1,1,20211118,20221101
18946,1,1,1,1,1,0,0,20211115,20221101
17963,0,0,0,0,0,1,1,20211106,20221101
20647,1,1,1,1,1,0,0,20211103,20221101
13513,0,0,0,0,0,1,1,20211118,20221101
13514,0,0,0,0,0,1,1,20211118,20221101
19460,1,1,1,1,1,0,0,20211115,20221101
20792,0,0,0,0,0,1,1,20211118,20221101
20771,1,1,1,1,1,0,0,20211115,20221101
19461,1,1,1,1,1,0,0,20211115,20221101
20793,0,0,0,0,0,1,1,20211118,20221101
20772,1,1,1,1,1,0,0,20211115,20221101
20794,0,0,0,0,0,1,1,20211118,20221101
20773,1,1,1,1,1,0,0,20211115,20221101
20103,1,1,1,1,1,0,0,20210901,20221101
20795,0,0,0,0,0,1,1,20211118,20221101
20774,1,1,1,1,1,0,0,20211115,20221101
20150,0,0,0,0,0,1,1,20211118,20221101
20615,1,1,1,1,1,0,0,20211115,20221101
20745,1,1,1,1,1,0,0,20200901,20221101
17967,0,0,0,0,0,1,1,20211118,20221101
19400,1,1,1,1,1,0,0,20211115,20221101
17142,0,0,0,0,0,1,1,20211118,20221101
20617,1,1,1,1,1,0,0,20211115,20221101
19954,0,0,0,0,0,1,1,20211118,20221101
19953,0,0,0,0,0,1,1,20211118,20221101
20655,1,1,1,1,1,0,0,20211115,20221101
20658,1,1,1,1,1,0,0,20211115,20221101
17422,0,0,0,0,0,1,1,20211118,20221101
17940,1,1,1,1,1,0,0,20211115,20221101
18714,0,0,0,0,0,1,1,20211118,20221101
19219,1,1,1,1,1,0,0,20211115,20221101
19888,0,0,0,0,0,1,1,20211118,20221101
19468,1,1,1,1,1,0,0,20211115,20221101
14058,0,0,0,0,0,1,1,20211118,20221101
19467,1,1,1,1,1,0,0,20211115,20221101
16921,1,1,1,1,1,0,0,20200901,20221101
20796,0,0,0,0,0,1,1,20211118,20221101
20760,1,1,1,1,1,0,0,20211115,20221101
20906,1,1,1,1,1,0,0,20211103,20221101
20797,0,0,0,0,0,1,1,20211118,20221101
19702,1,1,1,1,1,0,0,20211115,20221101
20798,0,0,0,0,0,1,1,20211118,20221101
20777,1,1,1,1,1,0,0,20211115,20221101
20778,1,1,1,1,1,0,0,20211115,20221101
20799,0,0,0,0,0,1,1,20211118,20221101
7523,0,0,0,0,0,1,1,20211118,20221101
17948,1,1,1,1,1,0,0,20211115,20221101
19145,0,0,0,0,0,1,1,20210904,20221101
19144,1,1,1,1,1,0,0,20210901,20221101
20800,0,0,0,0,0,1,1,20211118,20221101
20779,1,1,1,1,1,0,0,20211115,20221101
19211,0,0,0,0,0,1,1,20211118,20221101
19477,1,1,1,1,1,0,0,20211115,20221101
18711,1,1,1,1,1,0,0,20200901,20221101
20801,0,0,0,0,0,1,1,20211118,20221101
20756,1,1,1,1,1,0,0,20211115,20221101
16933,0,0,0,0,0,1,1,20210904,20221101
18850,1,1,1,1,1,0,0,20210901,20221101
20780,1,1,1,1,1,0,0,20211115,20221101
17542,0,0,0,0,0,1,1,20211118,20221101
20731,1,1,1,1,1,0,0,20211115,20221101
20732,0,0,0,0,0,1,1,20211118,20221101
19880,1,1,1,1,1,0,0,20211115,20221101
20735,0,0,0,0,0,1,1,20211118,20221101
20733,1,1,1,1,1,0,0,20211115,20221101
20737,0,0,0,0,0,1,1,20211118,20221101
20736,1,1,1,1,1,0,0,20211115,20221101
20750,0,0,0,0,0,1,1,20211118,20221101
20738,1,1,1,1,1,0,0,20211115,20221101
20741,0,0,0,0,0,1,1,20211118,20221101
20740,1,1,1,1,1,0,0,20211115,20221101
20556,0,0,0,0,0,1,1,20211118,20221101
20505,1,1,1,1,1,0,0,20211115,20221101
20557,0,0,0,0,0,1,1,20211118,20221101
20729,1,1,1,1,1,0,0,20211115,20221101
18500,0,0,0,0,0,1,1,20211118,20221101
20540,1,1,1,1,1,0,0,20211115,20221101
18502,0,0,0,0,0,1,1,20211118,20221101
20541,1,1,1,1,1,0,0,20211115,20221101
20542,1,1,1,1,1,0,0,20211115,20221101
20543,1,1,1,1,1,0,0,20211115,20221101
20544,1,1,1,1,1,0,0,20211115,20221101
20558,0,0,0,0,0,1,1,20211118,20221101
20545,1,1,1,1,1,0,0,20211115,20221101
20572,0,0,0,0,0,1,1,20211118,20221101
20728,1,1,1,1,1,0,0,20211115,20221101
20561,0,0,0,0,0,1,1,20211118,20221101
20546,1,1,1,1,1,0,0,20211115,20221101
20562,0,0,0,0,0,1,1,20211118,20221101
20547,1,1,1,1,1,0,0,20211115,20221101
20881,0,0,0,0,0,1,1,20211118,20221101
20873,1,1,1,1,1,0,0,20211115,20221101
20564,0,0,0,0,0,1,1,20211118,20221101
20549,1,1,1,1,1,0,0,20211115,20221101
20565,0,0,0,0,0,1,1,20211118,20221101
20550,1,1,1,1,1,0,0,20211115,20221101
20566,0,0,0,0,0,1,1,20211118,20221101
20551,1,1,1,1,1,0,0,20211115,20221101
20567,0,0,0,0,0,1,1,20211118,20221101
20552,1,1,1,1,1,0,0,20211115,20221101
18513,0,0,0,0,0,1,1,20211118,20221101
20553,1,1,1,1,1,0,0,20211115,20221101
