service_id,date,exception_type
20664,20220101,1
20638,20220101,2
20285,20220101,2
20287,20220101,2
20670,20220101,1
20688,20220101,1
20477,20220101,2
20606,20220101,2
20127,20220101,1
20673,20220101,1
20639,20220101,2
20691,20220101,1
20641,20220101,2
20642,20220101,2
20128,20220101,1
20622,20220101,2
20486,20220101,1
20661,20220101,2
20130,20220101,1
20645,20220101,2
20131,20220101,1
20675,20220101,1
20663,20220101,2
20692,20220101,1
20608,20220101,2
20693,20220101,1
20718,20220101,2
20646,20220101,2
20145,20220101,1
20136,20220101,1
20268,20220101,2
20694,20220101,1
20706,20220101,2
20676,20220101,1
20662,20220101,2
20650,20220101,2
20324,20220101,1
20695,20220101,1
20113,20220101,2
17963,20220101,1
20647,20220101,2
20630,20220101,2
20146,20220101,1
20147,20220101,1
20671,20220101,1
20651,20220101,2
20142,20220101,1
20631,20220101,2
20148,20220101,1
20272,20220101,2
20677,20220101,1
20652,20220101,2
20623,20220101,2
20149,20220101,1
20269,20220101,2
20696,20220101,1
20616,20220101,2
20745,20220101,2
20698,20220101,1
20648,20220101,2
20618,20220101,2
20151,20220101,1
20678,20220101,2
20679,20220101,2
20482,20220101,1
20483,20220101,1
20620,20220101,2
20152,20220101,1
20680,20220101,2
20153,20220101,1
20682,20220101,2
20724,20220101,1
20683,20220101,2
20156,20220101,1
16921,20220101,2
20702,20220101,2
20157,20220101,1
20681,20220101,2
20158,20220101,1
16923,20220101,2
20094,20220101,2
20096,20220101,2
20159,20220101,1
20160,20220101,1
20684,20220101,2
20161,20220101,1
19145,20220101,1
19144,20220101,2
20163,20220101,1
19209,20220101,2
20685,20220101,2
20164,20220101,1
18711,20220101,2
20418,20220101,1
20286,20220101,2
16933,20220101,1
18850,20220101,2
20284,20220101,2
20575,20220101,1
19993,20220101,2
20022,20220101,2
20302,20220101,1
20578,20220101,1
20686,20220101,2
19986,20220101,1
19909,20220101,2
20582,20220101,1
20581,20220101,2
20584,20220101,1
20583,20220101,2
17524,20220101,1
18153,20220101,2
18435,20220101,1
20600,20220101,2
17544,20220101,2
20438,20220101,1
17576,20220101,2
20439,20220101,1
19527,20220101,2
17546,20220101,2
18678,20220101,2
17769,20220101,1
17555,20220101,2
17770,20220101,1
19904,20220101,2
18679,20220101,2
18681,20220101,1
18683,20220101,1
17569,20220101,2
20703,20220101,1
19538,20220101,2
18434,20220101,1
17572,20220101,2
18682,20220101,1
18680,20220101,2
19529,20220101,1
17570,20220101,2
17530,20220101,1
17573,20220101,2
17577,20220101,2
20447,20220101,1
